2022-07-26 11:24:36,478 Callback->Connection initialized[radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:24:37,119 We are connected[radio://0/80/2M/E7E7E7E7E7], request connection setup
2022-07-26 11:24:37,127 Callback->Connected to [radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:24:37,272 Protocol  version: 5
2022-07-26 11:24:37,300 TOC for port [5] found in cache
2022-07-26 11:24:37,300 Log TOC finished updating
2022-07-26 11:24:37,311 7 memories found
2022-07-26 11:24:37,530 Memories finished updating
2022-07-26 11:24:37,545 TOC for port [2] found in cache
2022-07-26 11:24:38,674 Param TOC finished updating
2022-07-26 11:24:38,675 Callback->Connection setup finished [radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:24:41,464 Have successfully started logging for id=1
2022-07-26 11:24:46,470 Have successfully stopped logging for id=1
2022-07-26 11:24:46,472 Have successfully deleted id=1
2022-07-26 11:24:46,488 Have successfully started logging for id=2
2022-07-26 11:24:46,499 {'ranging.distance0': 2.747631549835205, 'ranging.distance1': 3.2474358081817627, 'ranging.distance2': 3.6953208446502686, 'ranging.distance3': 3.3205244541168213, 'ranging.distance4': 2.638671875, 'ranging.distance5': 3.013671875, 'ranging.distance6': 2.75390625, 'ranging.distance7': 2.279296875}
2022-07-26 11:24:46,509 {'ranging.distance0': 2.747631549835205, 'ranging.distance1': 3.2474358081817627, 'ranging.distance2': 3.6953208446502686, 'ranging.distance3': 3.3358137607574463, 'ranging.distance4': 2.650390625, 'ranging.distance5': 3.015625, 'ranging.distance6': 2.796875, 'ranging.distance7': 2.279296875}
2022-07-26 11:24:46,516 {'ranging.distance0': 2.762690544128418, 'ranging.distance1': 3.348700761795044, 'ranging.distance2': 3.6977641582489014, 'ranging.distance3': 3.3358137607574463, 'ranging.distance4': 2.650390625, 'ranging.distance5': 3.015625, 'ranging.distance6': 2.796875, 'ranging.distance7': 2.24609375}
2022-07-26 11:24:46,527 {'ranging.distance0': 2.762690544128418, 'ranging.distance1': 3.348700761795044, 'ranging.distance2': 3.6977641582489014, 'ranging.distance3': 3.298173427581787, 'ranging.distance4': 2.685546875, 'ranging.distance5': 3.015625, 'ranging.distance6': 2.796875, 'ranging.distance7': 2.224609375}
2022-07-26 11:24:46,535 {'ranging.distance0': 2.762690544128418, 'ranging.distance1': 3.348700761795044, 'ranging.distance2': 3.6977641582489014, 'ranging.distance3': 3.298173427581787, 'ranging.distance4': 2.685546875, 'ranging.distance5': 3.015625, 'ranging.distance6': 2.796875, 'ranging.distance7': 2.224609375}
2022-07-26 11:24:46,547 {'ranging.distance0': 2.762690544128418, 'ranging.distance1': 3.348700761795044, 'ranging.distance2': 3.6977641582489014, 'ranging.distance3': 3.298173427581787, 'ranging.distance4': 2.6796875, 'ranging.distance5': 3.013671875, 'ranging.distance6': 2.779296875, 'ranging.distance7': 2.236328125}
2022-07-26 11:24:46,555 {'ranging.distance0': 2.762690544128418, 'ranging.distance1': 3.2901086807250977, 'ranging.distance2': 3.6751041412353516, 'ranging.distance3': 3.289473056793213, 'ranging.distance4': 2.6640625, 'ranging.distance5': 3.013671875, 'ranging.distance6': 2.779296875, 'ranging.distance7': 2.236328125}
2022-07-26 11:24:46,565 {'ranging.distance0': 2.762690544128418, 'ranging.distance1': 3.2901086807250977, 'ranging.distance2': 3.6751041412353516, 'ranging.distance3': 3.289473056793213, 'ranging.distance4': 2.6640625, 'ranging.distance5': 3.048828125, 'ranging.distance6': 2.8046875, 'ranging.distance7': 2.236328125}
2022-07-26 11:24:46,575 {'ranging.distance0': 2.762690544128418, 'ranging.distance1': 3.2889108657836914, 'ranging.distance2': 3.663803815841675, 'ranging.distance3': 3.3264517784118652, 'ranging.distance4': 2.6640625, 'ranging.distance5': 3.048828125, 'ranging.distance6': 2.8046875, 'ranging.distance7': 2.236328125}
2022-07-26 11:24:46,587 {'ranging.distance0': 2.782055377960205, 'ranging.distance1': 3.2889108657836914, 'ranging.distance2': 3.663803815841675, 'ranging.distance3': 3.3264517784118652, 'ranging.distance4': 2.671875, 'ranging.distance5': 3.048828125, 'ranging.distance6': 2.7890625, 'ranging.distance7': 2.263671875}
2022-07-26 11:24:46,600 {'ranging.distance0': 2.782055377960205, 'ranging.distance1': 3.2889108657836914, 'ranging.distance2': 3.7061877250671387, 'ranging.distance3': 3.3264517784118652, 'ranging.distance4': 2.669921875, 'ranging.distance5': 3.048828125, 'ranging.distance6': 2.7890625, 'ranging.distance7': 2.263671875}
