2022-07-26 11:28:29,421 Callback->Connection initialized[radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:28:30,187 We are connected[radio://0/80/2M/E7E7E7E7E7], request connection setup
2022-07-26 11:28:30,194 Callback->Connected to [radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:28:30,349 Protocol  version: 5
2022-07-26 11:28:30,372 TOC for port [5] found in cache
2022-07-26 11:28:30,372 Log TOC finished updating
2022-07-26 11:28:30,382 7 memories found
2022-07-26 11:28:30,593 Memories finished updating
2022-07-26 11:28:30,606 TOC for port [2] found in cache
2022-07-26 11:28:31,645 Param TOC finished updating
2022-07-26 11:28:31,645 Callback->Connection setup finished [radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:28:34,607 Have successfully started logging for id=1
2022-07-26 11:28:39,620 Have successfully stopped logging for id=1
2022-07-26 11:28:39,622 Have successfully deleted id=1
2022-07-26 11:28:39,647 Have successfully started logging for id=2
2022-07-26 11:28:39,663 {'ranging.distance0': 2.8574583530426025, 'ranging.distance1': 3.5580387115478516, 'ranging.distance2': 4.020617961883545, 'ranging.distance3': 3.549938917160034, 'ranging.distance4': 2.39453125, 'ranging.distance5': 2.8515625, 'ranging.distance6': 2.810546875, 'ranging.distance7': 2.53125}
2022-07-26 11:28:39,689 {'ranging.distance0': 2.8574583530426025, 'ranging.distance1': 3.5580387115478516, 'ranging.distance2': 4.020617961883545, 'ranging.distance3': 3.549938917160034, 'ranging.distance4': 2.373046875, 'ranging.distance5': 2.837890625, 'ranging.distance6': 2.7734375, 'ranging.distance7': 2.46875}
2022-07-26 11:28:39,693 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.5580387115478516, 'ranging.distance2': 3.888361930847168, 'ranging.distance3': 3.549938917160034, 'ranging.distance4': 2.373046875, 'ranging.distance5': 2.837890625, 'ranging.distance6': 2.7734375, 'ranging.distance7': 2.46875}
2022-07-26 11:28:39,730 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.5580387115478516, 'ranging.distance2': 3.888361930847168, 'ranging.distance3': 3.549938917160034, 'ranging.distance4': 2.419921875, 'ranging.distance5': 2.826171875, 'ranging.distance6': 2.7734375, 'ranging.distance7': 2.5390625}
2022-07-26 11:28:39,734 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.5580387115478516, 'ranging.distance2': 3.888361930847168, 'ranging.distance3': 3.549938917160034, 'ranging.distance4': 2.419921875, 'ranging.distance5': 2.826171875, 'ranging.distance6': 2.794921875, 'ranging.distance7': 2.5390625}
2022-07-26 11:28:39,738 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.498361110687256, 'ranging.distance2': 3.888361930847168, 'ranging.distance3': 3.549938917160034, 'ranging.distance4': 2.419921875, 'ranging.distance5': 2.826171875, 'ranging.distance6': 2.794921875, 'ranging.distance7': 2.5390625}
2022-07-26 11:28:39,742 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.498361110687256, 'ranging.distance2': 3.888361930847168, 'ranging.distance3': 3.5661866664886475, 'ranging.distance4': 2.486328125, 'ranging.distance5': 2.84765625, 'ranging.distance6': 2.794921875, 'ranging.distance7': 2.501953125}
2022-07-26 11:28:39,747 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.5719707012176514, 'ranging.distance2': 3.8995816707611084, 'ranging.distance3': 3.5484514236450195, 'ranging.distance4': 2.486328125, 'ranging.distance5': 2.84765625, 'ranging.distance6': 2.794921875, 'ranging.distance7': 2.501953125}
2022-07-26 11:28:39,755 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.5719707012176514, 'ranging.distance2': 3.8995816707611084, 'ranging.distance3': 3.5484514236450195, 'ranging.distance4': 2.376953125, 'ranging.distance5': 2.849609375, 'ranging.distance6': 2.802734375, 'ranging.distance7': 2.54296875}
2022-07-26 11:28:39,760 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.5669121742248535, 'ranging.distance2': 3.8727636337280273, 'ranging.distance3': 3.5382604598999023, 'ranging.distance4': 2.376953125, 'ranging.distance5': 2.849609375, 'ranging.distance6': 2.802734375, 'ranging.distance7': 2.54296875}
2022-07-26 11:28:39,765 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.5669121742248535, 'ranging.distance2': 3.8727636337280273, 'ranging.distance3': 3.5382604598999023, 'ranging.distance4': 2.412109375, 'ranging.distance5': 2.849609375, 'ranging.distance6': 2.767578125, 'ranging.distance7': 2.55078125}
2022-07-26 11:28:39,771 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.5586905479431152, 'ranging.distance2': 3.8727636337280273, 'ranging.distance3': 3.5271031856536865, 'ranging.distance4': 2.435546875, 'ranging.distance5': 2.849609375, 'ranging.distance6': 2.767578125, 'ranging.distance7': 2.55078125}
2022-07-26 11:28:39,774 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.5586905479431152, 'ranging.distance2': 3.8727636337280273, 'ranging.distance3': 3.5271031856536865, 'ranging.distance4': 2.435546875, 'ranging.distance5': 2.83203125, 'ranging.distance6': 2.765625, 'ranging.distance7': 2.55078125}
2022-07-26 11:28:39,782 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.5448708534240723, 'ranging.distance2': 3.8551294803619385, 'ranging.distance3': 3.515836715698242, 'ranging.distance4': 2.435546875, 'ranging.distance5': 2.83203125, 'ranging.distance6': 2.765625, 'ranging.distance7': 2.55078125}
2022-07-26 11:28:39,789 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.5305237770080566, 'ranging.distance2': 3.8551294803619385, 'ranging.distance3': 3.515836715698242, 'ranging.distance4': 2.435546875, 'ranging.distance5': 2.8203125, 'ranging.distance6': 2.79296875, 'ranging.distance7': 2.55078125}
2022-07-26 11:28:39,798 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.5305237770080566, 'ranging.distance2': 3.8728179931640625, 'ranging.distance3': 3.5861310958862305, 'ranging.distance4': 2.435546875, 'ranging.distance5': 2.845703125, 'ranging.distance6': 2.79296875, 'ranging.distance7': 2.55078125}
2022-07-26 11:28:39,808 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.5750811100006104, 'ranging.distance2': 3.8728179931640625, 'ranging.distance3': 3.5861310958862305, 'ranging.distance4': 2.435546875, 'ranging.distance5': 2.845703125, 'ranging.distance6': 2.79296875, 'ranging.distance7': 2.55859375}
2022-07-26 11:28:39,816 {'ranging.distance0': 2.875460624694824, 'ranging.distance1': 3.5750811100006104, 'ranging.distance2': 3.933077812194824, 'ranging.distance3': 3.554354667663574, 'ranging.distance4': 2.412109375, 'ranging.distance5': 2.8515625, 'ranging.distance6': 2.79296875, 'ranging.distance7': 2.55859375}
2022-07-26 11:28:39,828 {'ranging.distance0': 2.920086622238159, 'ranging.distance1': 3.5570552349090576, 'ranging.distance2': 3.933077812194824, 'ranging.distance3': 3.554354667663574, 'ranging.distance4': 2.412109375, 'ranging.distance5': 2.8515625, 'ranging.distance6': 2.779296875, 'ranging.distance7': 2.53125}
