2022-07-26 11:26:05,193 Callback->Connection initialized[radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:26:07,517 We are connected[radio://0/80/2M/E7E7E7E7E7], request connection setup
2022-07-26 11:26:07,526 Callback->Connected to [radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:26:07,689 Protocol  version: 5
2022-07-26 11:26:07,725 TOC for port [5] found in cache
2022-07-26 11:26:07,726 Log TOC finished updating
2022-07-26 11:26:07,736 7 memories found
2022-07-26 11:26:07,960 Memories finished updating
2022-07-26 11:26:07,977 TOC for port [2] found in cache
2022-07-26 11:26:09,126 Param TOC finished updating
2022-07-26 11:26:09,126 Callback->Connection setup finished [radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:26:12,010 Have successfully started logging for id=1
2022-07-26 11:26:17,015 Have successfully stopped logging for id=1
2022-07-26 11:26:17,018 Have successfully deleted id=1
2022-07-26 11:26:17,034 Have successfully started logging for id=2
2022-07-26 11:26:17,206 {'ranging.distance0': 1.6010323762893677, 'ranging.distance1': 4.020288944244385, 'ranging.distance2': 4.70930290222168, 'ranging.distance3': 2.245718002319336, 'ranging.distance4': 3.373046875, 'ranging.distance5': 4.20703125, 'ranging.distance6': 1.5009765625, 'ranging.distance7': 2.162109375}
2022-07-26 11:26:17,213 {'ranging.distance0': 1.6010323762893677, 'ranging.distance1': 4.020288944244385, 'ranging.distance2': 4.70930290222168, 'ranging.distance3': 2.245718002319336, 'ranging.distance4': 3.373046875, 'ranging.distance5': 4.23046875, 'ranging.distance6': 1.5546875, 'ranging.distance7': 2.171875}
2022-07-26 11:26:17,219 {'ranging.distance0': 1.6010323762893677, 'ranging.distance1': 4.029406547546387, 'ranging.distance2': 4.690065860748291, 'ranging.distance3': 2.245718002319336, 'ranging.distance4': 3.369140625, 'ranging.distance5': 4.23046875, 'ranging.distance6': 1.5546875, 'ranging.distance7': 2.171875}
2022-07-26 11:26:17,235 {'ranging.distance0': 1.5439221858978271, 'ranging.distance1': 4.029406547546387, 'ranging.distance2': 4.690065860748291, 'ranging.distance3': 2.245718002319336, 'ranging.distance4': 3.369140625, 'ranging.distance5': 4.20703125, 'ranging.distance6': 1.5341796875, 'ranging.distance7': 2.19921875}
2022-07-26 11:26:17,244 {'ranging.distance0': 1.5439221858978271, 'ranging.distance1': 4.002142429351807, 'ranging.distance2': 4.6818647384643555, 'ranging.distance3': 2.315211057662964, 'ranging.distance4': 3.3671875, 'ranging.distance5': 4.20703125, 'ranging.distance6': 1.5341796875, 'ranging.distance7': 2.19921875}
2022-07-26 11:26:17,253 {'ranging.distance0': 1.6010228395462036, 'ranging.distance1': 4.002142429351807, 'ranging.distance2': 4.6818647384643555, 'ranging.distance3': 2.315211057662964, 'ranging.distance4': 3.3671875, 'ranging.distance5': 4.19921875, 'ranging.distance6': 1.5341796875, 'ranging.distance7': 2.279296875}
2022-07-26 11:26:17,263 {'ranging.distance0': 1.6010228395462036, 'ranging.distance1': 4.0197343826293945, 'ranging.distance2': 4.650002956390381, 'ranging.distance3': 2.2563228607177734, 'ranging.distance4': 3.404296875, 'ranging.distance5': 4.19921875, 'ranging.distance6': 1.5341796875, 'ranging.distance7': 2.279296875}
2022-07-26 11:26:17,272 {'ranging.distance0': 1.584525465965271, 'ranging.distance1': 4.0197343826293945, 'ranging.distance2': 4.650002956390381, 'ranging.distance3': 2.2563228607177734, 'ranging.distance4': 3.404296875, 'ranging.distance5': 4.19921875, 'ranging.distance6': 1.5107421875, 'ranging.distance7': 2.3359375}
2022-07-26 11:26:17,281 {'ranging.distance0': 1.584525465965271, 'ranging.distance1': 4.029025554656982, 'ranging.distance2': 4.707927227020264, 'ranging.distance3': 2.2822811603546143, 'ranging.distance4': 3.39453125, 'ranging.distance5': 4.19921875, 'ranging.distance6': 1.5107421875, 'ranging.distance7': 2.3359375}
2022-07-26 11:26:17,293 {'ranging.distance0': 1.5642224550247192, 'ranging.distance1': 4.029025554656982, 'ranging.distance2': 4.707927227020264, 'ranging.distance3': 2.2822811603546143, 'ranging.distance4': 3.39453125, 'ranging.distance5': 4.19921875, 'ranging.distance6': 1.513671875, 'ranging.distance7': 2.390625}
2022-07-26 11:26:17,300 {'ranging.distance0': 1.5642224550247192, 'ranging.distance1': 4.021571636199951, 'ranging.distance2': 4.707927227020264, 'ranging.distance3': 2.274963855743408, 'ranging.distance4': 3.35546875, 'ranging.distance5': 4.2265625, 'ranging.distance6': 1.513671875, 'ranging.distance7': 2.390625}
2022-07-26 11:26:17,312 {'ranging.distance0': 1.5584660768508911, 'ranging.distance1': 4.021571636199951, 'ranging.distance2': 4.707927227020264, 'ranging.distance3': 2.274963855743408, 'ranging.distance4': 3.35546875, 'ranging.distance5': 4.2265625, 'ranging.distance6': 1.48828125, 'ranging.distance7': 2.462890625}
2022-07-26 11:26:17,319 {'ranging.distance0': 1.5584660768508911, 'ranging.distance1': 4.021571636199951, 'ranging.distance2': 4.660156726837158, 'ranging.distance3': 2.311504602432251, 'ranging.distance4': 3.396484375, 'ranging.distance5': 4.234375, 'ranging.distance6': 1.48828125, 'ranging.distance7': 2.462890625}
2022-07-26 11:26:17,334 {'ranging.distance0': 1.5598851442337036, 'ranging.distance1': 4.045997619628906, 'ranging.distance2': 4.660156726837158, 'ranging.distance3': 2.311504602432251, 'ranging.distance4': 3.396484375, 'ranging.distance5': 4.234375, 'ranging.distance6': 1.484375, 'ranging.distance7': 2.5}
2022-07-26 11:26:17,343 {'ranging.distance0': 1.5598851442337036, 'ranging.distance1': 4.045997619628906, 'ranging.distance2': 4.695673942565918, 'ranging.distance3': 2.232228994369507, 'ranging.distance4': 3.361328125, 'ranging.distance5': 4.21875, 'ranging.distance6': 1.484375, 'ranging.distance7': 2.5}
2022-07-26 11:26:17,351 {'ranging.distance0': 1.5450493097305298, 'ranging.distance1': 3.9819588661193848, 'ranging.distance2': 4.695673942565918, 'ranging.distance3': 2.232228994369507, 'ranging.distance4': 3.361328125, 'ranging.distance5': 4.21875, 'ranging.distance6': 1.5, 'ranging.distance7': 2.15625}
2022-07-26 11:26:17,362 {'ranging.distance0': 1.5450493097305298, 'ranging.distance1': 3.9819588661193848, 'ranging.distance2': 4.695673942565918, 'ranging.distance3': 2.201591730117798, 'ranging.distance4': 3.36328125, 'ranging.distance5': 4.22265625, 'ranging.distance6': 1.5, 'ranging.distance7': 2.15625}
2022-07-26 11:26:17,371 {'ranging.distance0': 1.597810983657837, 'ranging.distance1': 4.012491703033447, 'ranging.distance2': 4.695673942565918, 'ranging.distance3': 2.201591730117798, 'ranging.distance4': 3.36328125, 'ranging.distance5': 4.22265625, 'ranging.distance6': 1.505859375, 'ranging.distance7': 2.12109375}
2022-07-26 11:26:17,383 {'ranging.distance0': 1.597810983657837, 'ranging.distance1': 4.012491703033447, 'ranging.distance2': 4.739595890045166, 'ranging.distance3': 2.210855007171631, 'ranging.distance4': 3.361328125, 'ranging.distance5': 4.2109375, 'ranging.distance6': 1.505859375, 'ranging.distance7': 2.12109375}
2022-07-26 11:26:17,392 {'ranging.distance0': 1.597810983657837, 'ranging.distance1': 4.040105819702148, 'ranging.distance2': 4.739595890045166, 'ranging.distance3': 2.210855007171631, 'ranging.distance4': 3.361328125, 'ranging.distance5': 4.2109375, 'ranging.distance6': 1.5126953125, 'ranging.distance7': 2.12109375}
2022-07-26 11:26:17,401 {'ranging.distance0': 1.597810983657837, 'ranging.distance1': 4.040105819702148, 'ranging.distance2': 4.704023361206055, 'ranging.distance3': 2.249376058578491, 'ranging.distance4': 3.361328125, 'ranging.distance5': 4.1640625, 'ranging.distance6': 1.42578125, 'ranging.distance7': 2.12109375}
2022-07-26 11:26:17,412 {'ranging.distance0': 1.597810983657837, 'ranging.distance1': 4.040105819702148, 'ranging.distance2': 4.704023361206055, 'ranging.distance3': 2.249376058578491, 'ranging.distance4': 3.361328125, 'ranging.distance5': 4.1640625, 'ranging.distance6': 1.42578125, 'ranging.distance7': 2.166015625}
2022-07-26 11:26:17,420 {'ranging.distance0': 1.597810983657837, 'ranging.distance1': 4.040105819702148, 'ranging.distance2': 4.704023361206055, 'ranging.distance3': 2.229984760284424, 'ranging.distance4': 3.318359375, 'ranging.distance5': 4.1640625, 'ranging.distance6': 1.6025390625, 'ranging.distance7': 2.166015625}
2022-07-26 11:26:17,430 {'ranging.distance0': 1.597810983657837, 'ranging.distance1': 4.024191379547119, 'ranging.distance2': 4.661718368530273, 'ranging.distance3': 2.229984760284424, 'ranging.distance4': 3.318359375, 'ranging.distance5': 4.1640625, 'ranging.distance6': 1.6025390625, 'ranging.distance7': 2.166015625}
2022-07-26 11:26:17,440 {'ranging.distance0': 1.597810983657837, 'ranging.distance1': 4.024191379547119, 'ranging.distance2': 4.661718368530273, 'ranging.distance3': 2.2189712524414062, 'ranging.distance4': 3.29296875, 'ranging.distance5': 4.15625, 'ranging.distance6': 1.53515625, 'ranging.distance7': 2.166015625}
2022-07-26 11:26:17,451 {'ranging.distance0': 1.5207135677337646, 'ranging.distance1': 4.006250381469727, 'ranging.distance2': 4.7109456062316895, 'ranging.distance3': 2.2189712524414062, 'ranging.distance4': 3.29296875, 'ranging.distance5': 4.15625, 'ranging.distance6': 1.53515625, 'ranging.distance7': 2.14453125}
2022-07-26 11:26:17,461 {'ranging.distance0': 1.5207135677337646, 'ranging.distance1': 4.006250381469727, 'ranging.distance2': 4.7109456062316895, 'ranging.distance3': 2.210019826889038, 'ranging.distance4': 3.30078125, 'ranging.distance5': 4.17578125, 'ranging.distance6': 1.509765625, 'ranging.distance7': 2.14453125}
2022-07-26 11:26:17,470 {'ranging.distance0': 1.5207135677337646, 'ranging.distance1': 3.9684581756591797, 'ranging.distance2': 4.691568374633789, 'ranging.distance3': 2.226229667663574, 'ranging.distance4': 3.30078125, 'ranging.distance5': 4.17578125, 'ranging.distance6': 1.509765625, 'ranging.distance7': 2.142578125}
2022-07-26 11:26:17,482 {'ranging.distance0': 1.5207135677337646, 'ranging.distance1': 3.9684581756591797, 'ranging.distance2': 4.691568374633789, 'ranging.distance3': 2.226229667663574, 'ranging.distance4': 3.296875, 'ranging.distance5': 4.19140625, 'ranging.distance6': 1.4814453125, 'ranging.distance7': 2.099609375}
2022-07-26 11:26:17,491 {'ranging.distance0': 1.5207135677337646, 'ranging.distance1': 4.024221420288086, 'ranging.distance2': 4.740898132324219, 'ranging.distance3': 2.226229667663574, 'ranging.distance4': 3.296875, 'ranging.distance5': 4.19140625, 'ranging.distance6': 1.4814453125, 'ranging.distance7': 2.099609375}
2022-07-26 11:26:17,501 {'ranging.distance0': 1.5207135677337646, 'ranging.distance1': 4.024221420288086, 'ranging.distance2': 4.740898132324219, 'ranging.distance3': 2.226229667663574, 'ranging.distance4': 3.275390625, 'ranging.distance5': 4.1875, 'ranging.distance6': 1.4814453125, 'ranging.distance7': 2.1640625}
2022-07-26 11:26:17,510 {'ranging.distance0': 1.5102301836013794, 'ranging.distance1': 4.024221420288086, 'ranging.distance2': 4.797922134399414, 'ranging.distance3': 2.189276933670044, 'ranging.distance4': 3.3125, 'ranging.distance5': 4.1875, 'ranging.distance6': 1.4814453125, 'ranging.distance7': 2.1640625}
2022-07-26 11:26:17,522 {'ranging.distance0': 1.4912898540496826, 'ranging.distance1': 4.024221420288086, 'ranging.distance2': 4.797922134399414, 'ranging.distance3': 2.189276933670044, 'ranging.distance4': 3.3125, 'ranging.distance5': 4.1953125, 'ranging.distance6': 1.4814453125, 'ranging.distance7': 2.16015625}
2022-07-26 11:26:17,529 {'ranging.distance0': 1.4912898540496826, 'ranging.distance1': 3.9571409225463867, 'ranging.distance2': 4.906499862670898, 'ranging.distance3': 2.189276933670044, 'ranging.distance4': 3.29296875, 'ranging.distance5': 4.1953125, 'ranging.distance6': 1.4814453125, 'ranging.distance7': 2.16015625}
2022-07-26 11:26:17,543 {'ranging.distance0': 1.4629356861114502, 'ranging.distance1': 3.9571409225463867, 'ranging.distance2': 4.906499862670898, 'ranging.distance3': 2.189276933670044, 'ranging.distance4': 3.29296875, 'ranging.distance5': 4.1953125, 'ranging.distance6': 1.4541015625, 'ranging.distance7': 2.16796875}
2022-07-26 11:26:17,550 {'ranging.distance0': 1.4629356861114502, 'ranging.distance1': 4.035945415496826, 'ranging.distance2': 4.653805255889893, 'ranging.distance3': 2.1998109817504883, 'ranging.distance4': 3.29296875, 'ranging.distance5': 4.1953125, 'ranging.distance6': 1.4541015625, 'ranging.distance7': 2.16796875}
2022-07-26 11:26:17,560 {'ranging.distance0': 1.4525054693222046, 'ranging.distance1': 4.035945415496826, 'ranging.distance2': 4.653805255889893, 'ranging.distance3': 2.1998109817504883, 'ranging.distance4': 3.29296875, 'ranging.distance5': 4.16796875, 'ranging.distance6': 1.4462890625, 'ranging.distance7': 2.17578125}
2022-07-26 11:26:17,571 {'ranging.distance0': 1.4525054693222046, 'ranging.distance1': 4.011920928955078, 'ranging.distance2': 4.653805255889893, 'ranging.distance3': 2.239489793777466, 'ranging.distance4': 3.271484375, 'ranging.distance5': 4.16796875, 'ranging.distance6': 1.4462890625, 'ranging.distance7': 2.17578125}
2022-07-26 11:26:17,582 {'ranging.distance0': 1.4543190002441406, 'ranging.distance1': 4.011920928955078, 'ranging.distance2': 4.653805255889893, 'ranging.distance3': 2.239489793777466, 'ranging.distance4': 3.271484375, 'ranging.distance5': 4.015625, 'ranging.distance6': 1.537109375, 'ranging.distance7': 2.12890625}
2022-07-26 11:26:17,591 {'ranging.distance0': 1.4543190002441406, 'ranging.distance1': 4.011920928955078, 'ranging.distance2': 4.708873748779297, 'ranging.distance3': 2.243067741394043, 'ranging.distance4': 3.271484375, 'ranging.distance5': 4.15234375, 'ranging.distance6': 1.537109375, 'ranging.distance7': 2.12890625}
2022-07-26 11:26:17,600 {'ranging.distance0': 1.5054444074630737, 'ranging.distance1': 4.011920928955078, 'ranging.distance2': 4.708873748779297, 'ranging.distance3': 2.243067741394043, 'ranging.distance4': 3.271484375, 'ranging.distance5': 4.15234375, 'ranging.distance6': 1.53125, 'ranging.distance7': 2.09765625}
2022-07-26 11:26:17,611 {'ranging.distance0': 1.5054444074630737, 'ranging.distance1': 4.031259536743164, 'ranging.distance2': 4.708873748779297, 'ranging.distance3': 2.3238940238952637, 'ranging.distance4': 3.208984375, 'ranging.distance5': 4.25, 'ranging.distance6': 1.53125, 'ranging.distance7': 2.09765625}
2022-07-26 11:26:17,620 {'ranging.distance0': 1.6106939315795898, 'ranging.distance1': 3.9996495246887207, 'ranging.distance2': 4.708873748779297, 'ranging.distance3': 2.3238940238952637, 'ranging.distance4': 3.208984375, 'ranging.distance5': 4.25, 'ranging.distance6': 1.53125, 'ranging.distance7': 2.125}
2022-07-26 11:26:17,631 {'ranging.distance0': 1.6106939315795898, 'ranging.distance1': 3.9996495246887207, 'ranging.distance2': 4.708873748779297, 'ranging.distance3': 2.3238940238952637, 'ranging.distance4': 3.33984375, 'ranging.distance5': 4.23828125, 'ranging.distance6': 1.53125, 'ranging.distance7': 2.125}
2022-07-26 11:26:17,642 {'ranging.distance0': 1.6703697443008423, 'ranging.distance1': 3.9996495246887207, 'ranging.distance2': 4.812744140625, 'ranging.distance3': 2.3238940238952637, 'ranging.distance4': 3.33984375, 'ranging.distance5': 4.23828125, 'ranging.distance6': 1.5166015625, 'ranging.distance7': 2.166015625}
2022-07-26 11:26:17,651 {'ranging.distance0': 1.6703697443008423, 'ranging.distance1': 3.9996495246887207, 'ranging.distance2': 4.812744140625, 'ranging.distance3': 2.2961180210113525, 'ranging.distance4': 3.26171875, 'ranging.distance5': 4.21484375, 'ranging.distance6': 1.5078125, 'ranging.distance7': 2.166015625}
2022-07-26 11:26:17,660 {'ranging.distance0': 1.84587824344635, 'ranging.distance1': 3.9991722106933594, 'ranging.distance2': 4.571633338928223, 'ranging.distance3': 2.2961180210113525, 'ranging.distance4': 3.26171875, 'ranging.distance5': 4.21484375, 'ranging.distance6': 1.5078125, 'ranging.distance7': 2.181640625}
2022-07-26 11:26:17,670 {'ranging.distance0': 1.84587824344635, 'ranging.distance1': 3.9991722106933594, 'ranging.distance2': 4.571633338928223, 'ranging.distance3': 2.244310140609741, 'ranging.distance4': 3.20703125, 'ranging.distance5': 4.18359375, 'ranging.distance6': 1.5078125, 'ranging.distance7': 2.181640625}
2022-07-26 11:26:17,680 {'ranging.distance0': 1.8670426607131958, 'ranging.distance1': 3.9675815105438232, 'ranging.distance2': 4.571633338928223, 'ranging.distance3': 2.244310140609741, 'ranging.distance4': 3.20703125, 'ranging.distance5': 4.18359375, 'ranging.distance6': 1.43359375, 'ranging.distance7': 2.173828125}
2022-07-26 11:26:17,690 {'ranging.distance0': 1.8670426607131958, 'ranging.distance1': 3.9675815105438232, 'ranging.distance2': 4.638393402099609, 'ranging.distance3': 2.2169597148895264, 'ranging.distance4': 3.20703125, 'ranging.distance5': 4.19921875, 'ranging.distance6': 1.43359375, 'ranging.distance7': 2.173828125}
2022-07-26 11:26:17,701 {'ranging.distance0': 1.9190659523010254, 'ranging.distance1': 3.9928951263427734, 'ranging.distance2': 4.638393402099609, 'ranging.distance3': 2.2169597148895264, 'ranging.distance4': 3.20703125, 'ranging.distance5': 4.19921875, 'ranging.distance6': 1.4921875, 'ranging.distance7': 2.173828125}
2022-07-26 11:26:17,713 {'ranging.distance0': 1.9190659523010254, 'ranging.distance1': 3.9928951263427734, 'ranging.distance2': 4.745938301086426, 'ranging.distance3': 2.223745584487915, 'ranging.distance4': 3.19140625, 'ranging.distance5': 4.1796875, 'ranging.distance6': 1.4921875, 'ranging.distance7': 2.173828125}
2022-07-26 11:26:17,720 {'ranging.distance0': 1.8489528894424438, 'ranging.distance1': 3.972914934158325, 'ranging.distance2': 4.745938301086426, 'ranging.distance3': 2.223745584487915, 'ranging.distance4': 3.19140625, 'ranging.distance5': 4.1796875, 'ranging.distance6': 1.576171875, 'ranging.distance7': 2.15625}
2022-07-26 11:26:17,730 {'ranging.distance0': 1.8489528894424438, 'ranging.distance1': 3.972914934158325, 'ranging.distance2': 4.745938301086426, 'ranging.distance3': 2.223745584487915, 'ranging.distance4': 3.171875, 'ranging.distance5': 4.18359375, 'ranging.distance6': 1.576171875, 'ranging.distance7': 2.15625}
2022-07-26 11:26:17,745 {'ranging.distance0': 1.8324511051177979, 'ranging.distance1': 3.89223051071167, 'ranging.distance2': 4.745938301086426, 'ranging.distance3': 2.223745584487915, 'ranging.distance4': 3.171875, 'ranging.distance5': 4.18359375, 'ranging.distance6': 1.548828125, 'ranging.distance7': 2.15625}
2022-07-26 11:26:17,752 {'ranging.distance0': 1.8324511051177979, 'ranging.distance1': 3.89223051071167, 'ranging.distance2': 4.828073501586914, 'ranging.distance3': 2.1793556213378906, 'ranging.distance4': 3.185546875, 'ranging.distance5': 4.15625, 'ranging.distance6': 1.548828125, 'ranging.distance7': 2.15625}
2022-07-26 11:26:17,761 {'ranging.distance0': 1.8491169214248657, 'ranging.distance1': 3.9776532649993896, 'ranging.distance2': 4.828073501586914, 'ranging.distance3': 2.1793556213378906, 'ranging.distance4': 3.185546875, 'ranging.distance5': 4.15625, 'ranging.distance6': 1.501953125, 'ranging.distance7': 2.15234375}
2022-07-26 11:26:17,772 {'ranging.distance0': 1.8491169214248657, 'ranging.distance1': 3.9776532649993896, 'ranging.distance2': 4.668242454528809, 'ranging.distance3': 2.1310582160949707, 'ranging.distance4': 3.244140625, 'ranging.distance5': 4.1953125, 'ranging.distance6': 1.501953125, 'ranging.distance7': 2.15234375}
2022-07-26 11:26:17,782 {'ranging.distance0': 1.8284568786621094, 'ranging.distance1': 3.956951379776001, 'ranging.distance2': 4.563132286071777, 'ranging.distance3': 2.1310582160949707, 'ranging.distance4': 3.244140625, 'ranging.distance5': 4.1953125, 'ranging.distance6': 1.501953125, 'ranging.distance7': 2.17578125}
2022-07-26 11:26:17,791 {'ranging.distance0': 1.8284568786621094, 'ranging.distance1': 3.956951379776001, 'ranging.distance2': 4.563132286071777, 'ranging.distance3': 2.228081703186035, 'ranging.distance4': 3.171875, 'ranging.distance5': 4.1953125, 'ranging.distance6': 1.501953125, 'ranging.distance7': 2.17578125}
2022-07-26 11:26:17,802 {'ranging.distance0': 1.8284568786621094, 'ranging.distance1': 4.024255752563477, 'ranging.distance2': 4.645609378814697, 'ranging.distance3': 2.228081703186035, 'ranging.distance4': 3.171875, 'ranging.distance5': 4.1953125, 'ranging.distance6': 1.501953125, 'ranging.distance7': 2.18359375}
2022-07-26 11:26:17,811 {'ranging.distance0': 1.8284568786621094, 'ranging.distance1': 4.024255752563477, 'ranging.distance2': 4.645609378814697, 'ranging.distance3': 2.1734778881073, 'ranging.distance4': 3.19140625, 'ranging.distance5': 4.16796875, 'ranging.distance6': 1.501953125, 'ranging.distance7': 2.18359375}
2022-07-26 11:26:17,821 {'ranging.distance0': 1.8284568786621094, 'ranging.distance1': 3.969881534576416, 'ranging.distance2': 4.689220428466797, 'ranging.distance3': 2.1734778881073, 'ranging.distance4': 3.19140625, 'ranging.distance5': 4.16796875, 'ranging.distance6': 1.501953125, 'ranging.distance7': 2.185546875}
2022-07-26 11:26:17,832 {'ranging.distance0': 1.8284568786621094, 'ranging.distance1': 3.969881534576416, 'ranging.distance2': 4.689220428466797, 'ranging.distance3': 2.232163190841675, 'ranging.distance4': 3.1640625, 'ranging.distance5': 4.140625, 'ranging.distance6': 1.4404296875, 'ranging.distance7': 2.185546875}
