2022-07-26 11:30:56,449 Callback->Connection initialized[radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:30:58,798 We are connected[radio://0/80/2M/E7E7E7E7E7], request connection setup
2022-07-26 11:30:58,808 Callback->Connected to [radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:30:58,986 Protocol  version: 5
2022-07-26 11:30:59,018 TOC for port [5] found in cache
2022-07-26 11:30:59,018 Log TOC finished updating
2022-07-26 11:30:59,029 7 memories found
2022-07-26 11:30:59,249 Memories finished updating
2022-07-26 11:30:59,264 TOC for port [2] found in cache
2022-07-26 11:31:00,352 Param TOC finished updating
2022-07-26 11:31:00,352 Callback->Connection setup finished [radio://0/80/2M/E7E7E7E7E7]
2022-07-26 11:31:03,169 Have successfully started logging for id=1
2022-07-26 11:31:08,175 Have successfully stopped logging for id=1
2022-07-26 11:31:08,179 Have successfully deleted id=1
2022-07-26 11:31:08,198 Have successfully started logging for id=2
2022-07-26 11:31:08,210 {'ranging.distance0': 2.8051013946533203, 'ranging.distance1': 3.278153419494629, 'ranging.distance2': 3.677002191543579, 'ranging.distance3': 3.2947263717651367, 'ranging.distance4': 2.638671875, 'ranging.distance5': 2.978515625, 'ranging.distance6': 2.810546875, 'ranging.distance7': 2.224609375}
2022-07-26 11:31:08,216 {'ranging.distance0': 2.8051013946533203, 'ranging.distance1': 3.2747139930725098, 'ranging.distance2': 3.6275107860565186, 'ranging.distance3': 3.2947263717651367, 'ranging.distance4': 2.626953125, 'ranging.distance5': 2.978515625, 'ranging.distance6': 2.810546875, 'ranging.distance7': 2.224609375}
2022-07-26 11:31:08,228 {'ranging.distance0': 2.8051013946533203, 'ranging.distance1': 3.2747139930725098, 'ranging.distance2': 3.6275107860565186, 'ranging.distance3': 3.2947263717651367, 'ranging.distance4': 2.626953125, 'ranging.distance5': 2.978515625, 'ranging.distance6': 2.7734375, 'ranging.distance7': 2.22265625}
2022-07-26 11:31:08,238 {'ranging.distance0': 2.8051013946533203, 'ranging.distance1': 3.2673168182373047, 'ranging.distance2': 3.6537985801696777, 'ranging.distance3': 3.2947263717651367, 'ranging.distance4': 2.615234375, 'ranging.distance5': 2.978515625, 'ranging.distance6': 2.7734375, 'ranging.distance7': 2.22265625}
2022-07-26 11:31:08,246 {'ranging.distance0': 2.769515037536621, 'ranging.distance1': 3.2673168182373047, 'ranging.distance2': 3.6537985801696777, 'ranging.distance3': 3.2947263717651367, 'ranging.distance4': 2.615234375, 'ranging.distance5': 2.998046875, 'ranging.distance6': 2.7734375, 'ranging.distance7': 2.2265625}
2022-07-26 11:31:08,258 {'ranging.distance0': 2.769515037536621, 'ranging.distance1': 3.2663071155548096, 'ranging.distance2': 3.6397922039031982, 'ranging.distance3': 3.276228666305542, 'ranging.distance4': 2.703125, 'ranging.distance5': 2.998046875, 'ranging.distance6': 2.7734375, 'ranging.distance7': 2.2265625}
2022-07-26 11:31:08,267 {'ranging.distance0': 2.778325080871582, 'ranging.distance1': 3.2663071155548096, 'ranging.distance2': 3.6397922039031982, 'ranging.distance3': 3.276228666305542, 'ranging.distance4': 2.703125, 'ranging.distance5': 3.0, 'ranging.distance6': 2.755859375, 'ranging.distance7': 2.2265625}
2022-07-26 11:31:08,276 {'ranging.distance0': 2.778325080871582, 'ranging.distance1': 3.2663071155548096, 'ranging.distance2': 3.64105224609375, 'ranging.distance3': 3.276228666305542, 'ranging.distance4': 2.634765625, 'ranging.distance5': 2.94921875, 'ranging.distance6': 2.755859375, 'ranging.distance7': 2.2265625}
2022-07-26 11:31:08,286 {'ranging.distance0': 2.796757459640503, 'ranging.distance1': 3.2405624389648438, 'ranging.distance2': 3.64105224609375, 'ranging.distance3': 3.276228666305542, 'ranging.distance4': 2.634765625, 'ranging.distance5': 2.94921875, 'ranging.distance6': 2.7421875, 'ranging.distance7': 2.197265625}
2022-07-26 11:31:08,299 {'ranging.distance0': 2.796757459640503, 'ranging.distance1': 3.2405624389648438, 'ranging.distance2': 3.64105224609375, 'ranging.distance3': 3.276228666305542, 'ranging.distance4': 2.65625, 'ranging.distance5': 2.98828125, 'ranging.distance6': 2.7421875, 'ranging.distance7': 2.197265625}
2022-07-26 11:31:08,307 {'ranging.distance0': 2.780904531478882, 'ranging.distance1': 3.2727761268615723, 'ranging.distance2': 3.64105224609375, 'ranging.distance3': 3.276228666305542, 'ranging.distance4': 2.65625, 'ranging.distance5': 2.98828125, 'ranging.distance6': 2.73828125, 'ranging.distance7': 2.197265625}
2022-07-26 11:31:08,319 {'ranging.distance0': 2.780904531478882, 'ranging.distance1': 3.2727761268615723, 'ranging.distance2': 3.6505446434020996, 'ranging.distance3': 3.276228666305542, 'ranging.distance4': 2.64453125, 'ranging.distance5': 2.98828125, 'ranging.distance6': 2.767578125, 'ranging.distance7': 2.197265625}
2022-07-26 11:31:08,328 {'ranging.distance0': 2.780904531478882, 'ranging.distance1': 3.2727761268615723, 'ranging.distance2': 3.653900623321533, 'ranging.distance3': 3.276228666305542, 'ranging.distance4': 2.64453125, 'ranging.distance5': 2.98828125, 'ranging.distance6': 2.767578125, 'ranging.distance7': 2.2265625}
2022-07-26 11:31:08,336 {'ranging.distance0': 2.780904531478882, 'ranging.distance1': 3.2727761268615723, 'ranging.distance2': 3.653900623321533, 'ranging.distance3': 3.3333892822265625, 'ranging.distance4': 2.662109375, 'ranging.distance5': 2.98828125, 'ranging.distance6': 2.767578125, 'ranging.distance7': 2.2265625}
2022-07-26 11:31:08,346 {'ranging.distance0': 2.8166680335998535, 'ranging.distance1': 3.2803642749786377, 'ranging.distance2': 3.6246049404144287, 'ranging.distance3': 3.3333892822265625, 'ranging.distance4': 2.662109375, 'ranging.distance5': 2.98828125, 'ranging.distance6': 2.767578125, 'ranging.distance7': 2.2109375}
2022-07-26 11:31:08,356 {'ranging.distance0': 2.8166680335998535, 'ranging.distance1': 3.2803642749786377, 'ranging.distance2': 3.6246049404144287, 'ranging.distance3': 3.3409953117370605, 'ranging.distance4': 2.642578125, 'ranging.distance5': 2.98828125, 'ranging.distance6': 2.7578125, 'ranging.distance7': 2.2109375}
